# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20200222-12 2458901.6788277873 61.0 1.14227362422005 0.0331793422698975 1.0 1.0 11.986394700823299 9.122989721508329 19.960181595961686 15.191935196902092 19.167249390944797 12.041106698173774 0.0 0.0 45499.20076311336 375.2251137417351 -316.68436246820676 13.639005990819985 44024.38200977089 748.6161683537044 11.510226769452899 0.9204944843303016 7.230868959039859 0.25122038441538797 4.5382450026438645 0.05856119813399825
20200225-14 2458904.677945156 64.0 1.1178622781987 0.0437370903491975 1.1335366714532638 1.1577595107293444 11.447223809723294 8.530916198371655 19.062334564704376 14.205992773434499 11.460735787758473 17.60883720000179 3.339351713734999 -0.032146160360696285 53320.97919808124 451.73776642756854 -406.9094428483257 16.420154162714397 51599.67465647431 958.3463593367118 6.882347340052115 0.2430425645473353 10.57437638465495 0.7975912948699653 -25.28483207659169 0.06211197614227348
20200811-41 2459073.1710016094 51.0 1.30413565815765 0.10399303150177 1.123308286684505 1.1559153321202 11.402474954702214 8.442436512178547 18.98781713934621 14.058653173158627 11.28627296862734 17.51204579160566 4.86479682984978 2.8225221481561107 51954.45558023635 452.7576016480694 -399.5991394720903 16.457223964739548 50374.013299902086 893.0005791932692 6.7775797455956 0.222993250018663 10.51625166173563 0.7482904914487793 12.400819780283495 0.057467438466281565
20200914-49 2459107.0608991953 45.0 1.4332335783714498 0.052263191461563 1.0789504079778418 1.1092139209331755 11.588993259414575 8.587610133263707 19.298414222618792 14.30040158142722 11.618823120439096 17.60087775416256 0.8931717326739204 2.7785622507793164 49513.20127986489 397.0345562468213 -368.66302819451823 14.4317547137177 47994.79705911747 816.2698093681937 6.97728120413548 0.2299832658999092 10.569596615544626 0.7241201460217993 6.103360949633356 0.0602841683955586
20201031-24 2459153.9549947362 52.0 1.2713075873789 0.10269190502167 0.00048061690170009795 0.0004967464276255187 11.461660962856476 8.447529360073869 19.08637583862031 14.067133969208522 11.51910355347756 17.17878975468712 0.832032151780453 -3.0114803203471467 0.00960992091037363 7.630996536200606e-05 -7.31517462292537e-05 2.7737804641839822e-06 0.009314248531598898 0.00016300933338633136 6.91739807715842 0.2322214499559897 10.31612630837983 0.7002250219211258 -0.1559823863908517 0.06220529759375052
20201212-58 2459196.050383473 56.0 1.21670822600055 0.12252681446075 1.0487665288013714 1.081774368379125 11.347286104131548 8.38153072927489 18.895914652655428 13.957230642252174 17.335723255624348 11.237159495945539 0.11262889724912384 -4.151427578171365 44850.60089531071 390.28468582242994 -348.3246872566633 14.186404592134876 43484.94793738778 776.420335780296 10.410367278832535 0.7359821373140226 6.748086353170189 0.22253839267554174 -1.7159331701733165 0.05748365796957424
20210115-45 2459229.9668304403 53.0 1.2671815515244 0.099979428768156 1.120233352777566 1.156236844461368 11.242887013269154 8.296639003795063 18.722065479148437 13.815865845007885 11.142459221985451 17.13070205100048 2.282166255850683 0.04292958399619806 50234.179013295034 443.20060305127004 -397.4144156780262 16.109837996181835 48676.22542665379 908.814110157821 6.6912173885014825 0.22779929243961233 10.287248905943727 0.7434118923581239 15.553831959030747 0.05999030105624633
20210212-13 2459257.682220902 56.0 1.2112045744451 0.08633529376983651 1.100822280746558 1.1346119569077258 11.323829125410391 8.366761708320256 18.85685323622011 13.932636729936837 11.292876062263964 17.189453349005294 3.0060283673591357 0.8647358741003757 49209.35309226263 418.20586825316224 -383.76118031006257 15.201307693328289 47668.16230486279 877.9803985927251 6.781545004438289 0.23213889539310426 10.322529960060683 0.7368360141091265 -103.8441116961458 0.061877050504713586
20210326-18 2459299.774144457 55.0 1.2314549948481002 0.060361117839813 1.0799771201862045 1.1118292280671398 11.566675113672133 8.5583108313513 19.261249232392522 14.251611315346093 17.466774722153072 11.628273010591863 1.6396457251127288 -1.445175674700863 49416.59336183693 388.161552187391 -369.36498988152647 14.109231092654339 47892.90516048968 814.4570718500316 10.489065691288504 0.7148732737596629 6.98295600787942 0.23123604025805045 -1.7096388433177714 0.0599805752116577
20210826-36 2459453.1481779455 55.0 1.22269647178215 0.051060230255127 1.1609157250287903 1.1990518649473088 11.229261183108036 8.282036451680069 18.699375249834283 13.791549142675386 17.129100155787217 11.104309393074981 0.23241158864368572 0.4060621584374644 53818.3493245381 480.2362517165917 -426.8035339425261 17.45604151179747 52163.786679352335 975.7590537826023 10.286286943338165 0.7451261477773838 6.668307832048233 0.22630047761661143 -36.28071032532835 0.05943745693387602
